text,original_label,label,event_type
Vehicle overrates sill.,implausible,1,"{'sen_id': 480, 'sentence': 'Vehicle overrates sill.', 'predicted_mentions': []}"
Collection participates armband.,implausible,1,"{'sen_id': 481, 'sentence': 'Collection participates armband.', 'predicted_mentions': [{'sentence_offset': [0, 10], 'trigger_words': 'Collection', 'trigger_confidence': 0.6691492795944214, 'event_type': {'xpo_node': 'DWD_Q1779350', 'name': 'collection', 'description': 'money gathered to support a church or charity, mainly during service'}, 'event_confidence': 0.9613806009292603}, {'sentence_offset': [11, 23], 'trigger_words': 'participates', 'trigger_confidence': 0.9301245212554932, 'event_type': {'xpo_node': 'DWD_Q1773152', 'name': 'participation', 'description': 'inclusion of individuals and organizations in decision-making and opinion-forming processes'}, 'event_confidence': 0.9904560446739197}]}"
Troupe works subsidy.,implausible,1,"{'sen_id': 482, 'sentence': 'Troupe works subsidy.', 'predicted_mentions': [{'sentence_offset': [7, 12], 'trigger_words': 'works', 'trigger_confidence': 0.5754085183143616, 'event_type': {'xpo_node': 'DWD_Q3485549', 'name': 'manual_work', 'description': 'physical work done by people'}, 'event_confidence': 0.9796200394630432}]}"
Desensitization demolishes farmhouse.,implausible,1,"{'sen_id': 483, 'sentence': 'Desensitization demolishes farmhouse.', 'predicted_mentions': [{'sentence_offset': [0, 15], 'trigger_words': 'Desensitization', 'trigger_confidence': 0.6938389539718628, 'event_type': {'xpo_node': 'DWD_Q652289', 'name': 'sanitization', 'description': 'process of removing sensitive information from a document or other message, so that the document may be distributed to a broader audience'}, 'event_confidence': 0.9549667239189148}, {'sentence_offset': [16, 26], 'trigger_words': 'demolishes', 'trigger_confidence': 0.9321296215057373, 'event_type': {'xpo_node': 'DWD_Q464858', 'name': 'demotion', 'description': ""compulsory reduction in an employee's rank or job title""}, 'event_confidence': 0.9747835397720337}]}"
Subdivision sustains roof.,plausible,1,"{'sen_id': 484, 'sentence': 'Subdivision sustains roof.', 'predicted_mentions': []}"
Installation comprises box.,plausible,1,"{'sen_id': 485, 'sentence': 'Installation comprises box.', 'predicted_mentions': []}"
Assailant overruns city.,plausible,1,"{'sen_id': 486, 'sentence': 'Assailant overruns city.', 'predicted_mentions': [{'sentence_offset': [0, 9], 'trigger_words': 'Assailant', 'trigger_confidence': 0.8208723664283752, 'event_type': {'xpo_node': 'DWD_Q3858303', 'name': 'intimidation', 'description': 'intentional behavior that ""would cause a person of ordinary sensibilities"" to fear'}, 'event_confidence': 0.9372425079345703}]}"
Stone threatens value.,implausible,0,"{'sen_id': 487, 'sentence': 'Stone threatens value.', 'predicted_mentions': [{'sentence_offset': [6, 15], 'trigger_words': 'threatens', 'trigger_confidence': 0.9662356972694397, 'event_type': {'xpo_node': 'DWD_Q1520311', 'name': 'violent_crime', 'description': 'crime in which an offender uses or threatens force upon a victim'}, 'event_confidence': 0.9554028511047363}]}"
Death represents inability.,plausible,1,"{'sen_id': 488, 'sentence': 'Death represents inability.', 'predicted_mentions': [{'sentence_offset': [0, 5], 'trigger_words': 'Death', 'trigger_confidence': 0.9662452340126038, 'event_type': {'xpo_node': 'DWD_Q15032', 'name': 'steganography', 'description': 'art and science of writing hidden messages'}, 'event_confidence': 0.8189005255699158}]}"
Purpose permits takeoff.,plausible,1,"{'sen_id': 489, 'sentence': 'Purpose permits takeoff.', 'predicted_mentions': []}"
Area substantiates aspiration.,implausible,0,"{'sen_id': 490, 'sentence': 'Area substantiates aspiration.', 'predicted_mentions': []}"
Language overestimates kitten.,implausible,0,"{'sen_id': 491, 'sentence': 'Language overestimates kitten.', 'predicted_mentions': []}"
Phase submits condolence.,implausible,1,"{'sen_id': 492, 'sentence': 'Phase submits condolence.', 'predicted_mentions': []}"
Strip includes street.,implausible,0,"{'sen_id': 493, 'sentence': 'Strip includes street.', 'predicted_mentions': []}"
Ensemble secures knee.,implausible,0,"{'sen_id': 494, 'sentence': 'Ensemble secures knee.', 'predicted_mentions': [{'sentence_offset': [9, 16], 'trigger_words': 'secures', 'trigger_confidence': 0.9021236896514893, 'event_type': {'xpo_node': 'DWD_Q978423', 'name': 'hardening', 'description': 'process of securing a system by reducing its surface of vulnerability, which is larger when a system performs more functions; in principle a single-function system is more secure than a multipurpose one'}, 'event_confidence': 0.9673770070075989}]}"
Batch corroborates rage.,implausible,0,"{'sen_id': 495, 'sentence': 'Batch corroborates rage.', 'predicted_mentions': []}"
Burial sustains insecurity.,implausible,0,"{'sen_id': 496, 'sentence': 'Burial sustains insecurity.', 'predicted_mentions': [{'sentence_offset': [0, 6], 'trigger_words': 'Burial', 'trigger_confidence': 0.6301084160804749, 'event_type': {'xpo_node': 'DWD_Q331055', 'name': 'burial', 'description': 'ritual act of placing a dead person into the ground'}, 'event_confidence': 0.9263398051261902}]}"
Viewer wants thing.,plausible,1,"{'sen_id': 497, 'sentence': 'Viewer wants thing.', 'predicted_mentions': []}"
Method considers manifestation.,implausible,1,"{'sen_id': 498, 'sentence': 'Method considers manifestation.', 'predicted_mentions': [{'sentence_offset': [7, 16], 'trigger_words': 'considers', 'trigger_confidence': 0.6104779243469238, 'event_type': {'xpo_node': 'DWD_Q1344851', 'name': 'consideration', 'description': 'concept of legal value in connection with contracts'}, 'event_confidence': 0.9695144891738892}, {'sentence_offset': [17, 30], 'trigger_words': 'manifestation', 'trigger_confidence': 0.7400980591773987, 'event_type': {'xpo_node': 'DWD_Q778384', 'name': 'display', 'description': 'set of ritualized behaviours that enable an animal to communicate to other animals about specific stimuli'}, 'event_confidence': 0.9477312564849854}]}"
Postman overestimates star.,implausible,1,"{'sen_id': 499, 'sentence': 'Postman overestimates star.', 'predicted_mentions': []}"
Encroachment hits league.,plausible,0,"{'sen_id': 500, 'sentence': 'Encroachment hits league.', 'predicted_mentions': [{'sentence_offset': [13, 17], 'trigger_words': 'hits', 'trigger_confidence': 0.5415989756584167, 'event_type': {'xpo_node': 'DWD_Q3242199', 'name': 'strike', 'description': 'directed physical attack'}, 'event_confidence': 0.8366246819496155}]}"
Class disembarks antiquity.,implausible,0,"{'sen_id': 501, 'sentence': 'Class disembarks antiquity.', 'predicted_mentions': []}"
Club wins edition.,plausible,1,"{'sen_id': 502, 'sentence': 'Club wins edition.', 'predicted_mentions': []}"
Array observes room.,implausible,1,"{'sen_id': 503, 'sentence': 'Array observes room.', 'predicted_mentions': [{'sentence_offset': [6, 14], 'trigger_words': 'observes', 'trigger_confidence': 0.9525559544563293, 'event_type': {'xpo_node': 'DWD_Q1663833', 'name': 'appraisal', 'description': 'considerations and findings as to how far an object, person or an idea matches the values that can be linked to it'}, 'event_confidence': 0.9568539261817932}]}"
Authority lifts restriction.,plausible,1,"{'sen_id': 504, 'sentence': 'Authority lifts restriction.', 'predicted_mentions': [{'sentence_offset': [10, 15], 'trigger_words': 'lifts', 'trigger_confidence': 0.7588216662406921, 'event_type': {'xpo_node': 'DWD_Q23009442', 'name': 'removal', 'description': 'dissociation of the original object with its old part; moving an object on distance of disconnect; process of moving, or the fact of being removed'}, 'event_confidence': 0.9408629536628723}, {'sentence_offset': [16, 27], 'trigger_words': 'restriction', 'trigger_confidence': 0.9270247220993042, 'event_type': {'xpo_node': 'DWD_Q99194287', 'name': 'censoring', 'description': 'activity of altering, deleting, or removing content in accordance with censorship guidelines'}, 'event_confidence': 0.8489452600479126}]}"
Contamination establishes medicine.,implausible,0,"{'sen_id': 505, 'sentence': 'Contamination establishes medicine.', 'predicted_mentions': [{'sentence_offset': [0, 13], 'trigger_words': 'Contamination', 'trigger_confidence': 0.941257894039154, 'event_type': {'xpo_node': 'DWD_Q60528603', 'name': 'contamination', 'description': 'presence of an unwanted constituent, harmful substance or impurity in a material, physical body, or environment'}, 'event_confidence': 0.9769226312637329}, {'sentence_offset': [14, 25], 'trigger_words': 'establishes', 'trigger_confidence': 0.9371337294578552, 'event_type': {'xpo_node': 'DWD_Q11398090', 'name': 'creation', 'description': 'process during which something comes into being and gains its characteristics'}, 'event_confidence': 0.9831156134605408}]}"
Hazard deposes activist.,implausible,1,"{'sen_id': 506, 'sentence': 'Hazard deposes activist.', 'predicted_mentions': [{'sentence_offset': [7, 14], 'trigger_words': 'deposes', 'trigger_confidence': 0.8761850595474243, 'event_type': {'xpo_node': 'DWD_Q743263', 'name': 'mind_control', 'description': 'process in which a group or individual ""systematically uses unethically manipulative methods to persuade others to conform to the wishes of the manipulator(s), often to the detriment of the person being manipulated""'}, 'event_confidence': 0.9341904520988464}]}"
Regulation condemns range.,implausible,1,"{'sen_id': 507, 'sentence': 'Regulation condemns range.', 'predicted_mentions': []}"
Police alienate compensation.,implausible,1,"{'sen_id': 508, 'sentence': 'Police alienate compensation.', 'predicted_mentions': [{'sentence_offset': [16, 28], 'trigger_words': 'compensation', 'trigger_confidence': 0.9059560894966125, 'event_type': {'xpo_node': 'DWD_Q1498273', 'name': 'compensation', 'description': 'legal term'}, 'event_confidence': 0.9685644507408142}]}"
Humor requires merger.,implausible,0,"{'sen_id': 509, 'sentence': 'Humor requires merger.', 'predicted_mentions': [{'sentence_offset': [15, 21], 'trigger_words': 'merger', 'trigger_confidence': 0.8506044745445251, 'event_type': {'xpo_node': 'DWD_Q504635', 'name': 'crossover', 'description': 'term applied to musical works or performers combining two or more genres'}, 'event_confidence': 0.90775465965271}]}"
Kin contains toe.,implausible,0,"{'sen_id': 510, 'sentence': 'Kin contains toe.', 'predicted_mentions': [{'sentence_offset': [4, 12], 'trigger_words': 'contains', 'trigger_confidence': 0.9382584095001221, 'event_type': {'xpo_node': 'DWD_Q62069734', 'name': 'filling', 'description': 'process of adding contentsand making full'}, 'event_confidence': 0.9573907256126404}]}"
Immigrant secures syndicate.,implausible,1,"{'sen_id': 511, 'sentence': 'Immigrant secures syndicate.', 'predicted_mentions': [{'sentence_offset': [0, 9], 'trigger_words': 'Immigrant', 'trigger_confidence': 0.5819001793861389, 'event_type': {'xpo_node': 'DWD_Q131288', 'name': 'immigration', 'description': 'movement of people into another country or region to which they are not native'}, 'event_confidence': 0.9721027612686157}, {'sentence_offset': [10, 17], 'trigger_words': 'secures', 'trigger_confidence': 0.5581803917884827, 'event_type': {'xpo_node': 'DWD_Q978423', 'name': 'hardening', 'description': 'process of securing a system by reducing its surface of vulnerability, which is larger when a system performs more functions; in principle a single-function system is more secure than a multipurpose one'}, 'event_confidence': 0.9827666282653809}]}"
Blood reduces feather.,plausible,0,"{'sen_id': 512, 'sentence': 'Blood reduces feather.', 'predicted_mentions': [{'sentence_offset': [6, 13], 'trigger_words': 'reduces', 'trigger_confidence': 0.8608911037445068, 'event_type': {'xpo_node': 'DWD_Q1458711', 'name': 'harm_reduction', 'description': 'range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors, both legal and illegal'}, 'event_confidence': 0.9822400212287903}]}"
Bunch puts pace.,implausible,0,"{'sen_id': 513, 'sentence': 'Bunch puts pace.', 'predicted_mentions': []}"
Culture imitates simplicity.,implausible,1,"{'sen_id': 514, 'sentence': 'Culture imitates simplicity.', 'predicted_mentions': []}"
Company manages merchandise.,plausible,1,"{'sen_id': 515, 'sentence': 'Company manages merchandise.', 'predicted_mentions': [{'sentence_offset': [8, 15], 'trigger_words': 'manages', 'trigger_confidence': 0.9879504442214966, 'event_type': {'xpo_node': 'DWD_Q2920921', 'name': 'management', 'description': 'administration of an organization, including activities to set the strategy of an organization and coordinate employees to accomplish its objectives'}, 'event_confidence': 0.9266674518585205}]}"
Airline starts operation.,plausible,1,"{'sen_id': 516, 'sentence': 'Airline starts operation.', 'predicted_mentions': [{'sentence_offset': [8, 14], 'trigger_words': 'starts', 'trigger_confidence': 0.9339092373847961, 'event_type': {'xpo_node': 'DWD_Q28530236', 'name': 'taking_office', 'description': 'procedure, event start work in the post'}, 'event_confidence': 0.9573068618774414}, {'sentence_offset': [15, 24], 'trigger_words': 'operation', 'trigger_confidence': 0.9336403012275696, 'event_type': {'xpo_node': 'DWD_Q182207', 'name': 'coitus_interruptus', 'description': 'method of birth-control'}, 'event_confidence': 0.6949068903923035}]}"
Demotion leads member.,plausible,1,"{'sen_id': 517, 'sentence': 'Demotion leads member.', 'predicted_mentions': []}"
Parishioner surrenders pottery.,implausible,0,"{'sen_id': 518, 'sentence': 'Parishioner surrenders pottery.', 'predicted_mentions': [{'sentence_offset': [12, 22], 'trigger_words': 'surrenders', 'trigger_confidence': 0.9791404008865356, 'event_type': {'xpo_node': 'DWD_Q3769366', 'name': 'surrender', 'description': 'cessation of fighting by the losing party'}, 'event_confidence': 0.9284130334854126}]}"
Inn needs future.,implausible,1,"{'sen_id': 519, 'sentence': 'Inn needs future.', 'predicted_mentions': []}"
Grape scrapes church.,implausible,0,"{'sen_id': 520, 'sentence': 'Grape scrapes church.', 'predicted_mentions': []}"
Letter means head.,plausible,0,"{'sen_id': 521, 'sentence': 'Letter means head.', 'predicted_mentions': []}"
Theorist presides association.,plausible,1,"{'sen_id': 522, 'sentence': 'Theorist presides association.', 'predicted_mentions': []}"
Sprite curtails plan.,implausible,0,"{'sen_id': 523, 'sentence': 'Sprite curtails plan.', 'predicted_mentions': []}"
Brain conceptualizes piano.,implausible,0,"{'sen_id': 524, 'sentence': 'Brain conceptualizes piano.', 'predicted_mentions': []}"
Water mitigates sunflower.,implausible,0,"{'sen_id': 525, 'sentence': 'Water mitigates sunflower.', 'predicted_mentions': [{'sentence_offset': [6, 15], 'trigger_words': 'mitigates', 'trigger_confidence': 0.9328394532203674, 'event_type': {'xpo_node': 'DWD_Q1458711', 'name': 'harm_reduction', 'description': 'range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors, both legal and illegal'}, 'event_confidence': 0.9682456254959106}]}"
Eye listens uniform.,implausible,1,"{'sen_id': 526, 'sentence': 'Eye listens uniform.', 'predicted_mentions': []}"
Stage stands justice.,implausible,1,"{'sen_id': 527, 'sentence': 'Stage stands justice.', 'predicted_mentions': [{'sentence_offset': [6, 12], 'trigger_words': 'stands', 'trigger_confidence': 0.7458783388137817, 'event_type': {'xpo_node': 'DWD_Q7598627', 'name': 'standing', 'description': 'anatomical terminology'}, 'event_confidence': 0.9137285351753235}]}"
Theorist develops definition.,plausible,1,"{'sen_id': 528, 'sentence': 'Theorist develops definition.', 'predicted_mentions': [{'sentence_offset': [9, 17], 'trigger_words': 'develops', 'trigger_confidence': 0.8964697122573853, 'event_type': {'xpo_node': 'DWD_Q27908081', 'name': 'development', 'description': 'personal change in children and adults'}, 'event_confidence': 0.9516136050224304}, {'sentence_offset': [18, 28], 'trigger_words': 'definition', 'trigger_confidence': 0.7641426920890808, 'event_type': {'xpo_node': 'DWD_Q16944486', 'name': 'elaboration', 'description': 'the process of developing or presenting a theory, policy, or system in further detail'}, 'event_confidence': 0.9822797179222107}]}"
Evidence tackles divergence.,implausible,1,"{'sen_id': 529, 'sentence': 'Evidence tackles divergence.', 'predicted_mentions': [{'sentence_offset': [9, 16], 'trigger_words': 'tackles', 'trigger_confidence': 0.924015998840332, 'event_type': {'xpo_node': 'DWD_Q1545990', 'name': 'tackle', 'description': 'Defensive move in various forms of football'}, 'event_confidence': 0.9726491570472717}, {'sentence_offset': [17, 27], 'trigger_words': 'divergence', 'trigger_confidence': 0.8947269916534424, 'event_type': {'xpo_node': 'DWD_Q85900110', 'name': 'divergence', 'description': 'process of separation of a relatively homogeneous group into more distinct groups'}, 'event_confidence': 0.8893343210220337}]}"
Bandleader solves tail.,implausible,0,"{'sen_id': 530, 'sentence': 'Bandleader solves tail.', 'predicted_mentions': [{'sentence_offset': [11, 17], 'trigger_words': 'solves', 'trigger_confidence': 0.6974294781684875, 'event_type': {'xpo_node': 'DWD_Q457174', 'name': 'workaround', 'description': 'bypass of a recognized problem or limitation in a system'}, 'event_confidence': 0.9648020267486572}]}"
Unit possesses room.,plausible,1,"{'sen_id': 531, 'sentence': 'Unit possesses room.', 'predicted_mentions': []}"
Review characterizes film.,plausible,1,"{'sen_id': 532, 'sentence': 'Review characterizes film.', 'predicted_mentions': [{'sentence_offset': [7, 20], 'trigger_words': 'characterizes', 'trigger_confidence': 0.9205868244171143, 'event_type': {'xpo_node': 'DWD_Q265158', 'name': 'review', 'description': 'evaluation of a publication, service, company, piece of hardware, event, exhibition, or performance'}, 'event_confidence': 0.9630433917045593}]}"
Church establishes self.,plausible,1,"{'sen_id': 533, 'sentence': 'Church establishes self.', 'predicted_mentions': [{'sentence_offset': [7, 18], 'trigger_words': 'establishes', 'trigger_confidence': 0.9871008396148682, 'event_type': {'xpo_node': 'DWD_Q11398090', 'name': 'creation', 'description': 'process during which something comes into being and gains its characteristics'}, 'event_confidence': 0.9746774435043335}]}"
Guideline affects photosynthesis.,implausible,0,"{'sen_id': 534, 'sentence': 'Guideline affects photosynthesis.', 'predicted_mentions': []}"
Officer implicates suffix.,implausible,1,"{'sen_id': 535, 'sentence': 'Officer implicates suffix.', 'predicted_mentions': []}"
Scheme paints annoyance.,implausible,0,"{'sen_id': 536, 'sentence': 'Scheme paints annoyance.', 'predicted_mentions': []}"
Building correlates congestion.,implausible,1,"{'sen_id': 537, 'sentence': 'Building correlates congestion.', 'predicted_mentions': [{'sentence_offset': [20, 30], 'trigger_words': 'congestion', 'trigger_confidence': 0.9363223910331726, 'event_type': {'xpo_node': 'DWD_Q244156', 'name': 'traffic_congestion', 'description': 'condition on road networks that occurs as use increases, and is characterized by slower speeds, longer trip times, and increased vehicular queueing'}, 'event_confidence': 0.9589622020721436}]}"
Architecture shouts diploma.,implausible,0,"{'sen_id': 538, 'sentence': 'Architecture shouts diploma.', 'predicted_mentions': [{'sentence_offset': [13, 19], 'trigger_words': 'shouts', 'trigger_confidence': 0.9664542078971863, 'event_type': {'xpo_node': 'DWD_Q1932016', 'name': 'shout', 'description': 'loud vocalization'}, 'event_confidence': 0.943191647529602}]}"
Elephant possesses adaptation.,plausible,1,"{'sen_id': 539, 'sentence': 'Elephant possesses adaptation.', 'predicted_mentions': [{'sentence_offset': [19, 29], 'trigger_words': 'adaptation', 'trigger_confidence': 0.8958520293235779, 'event_type': {'xpo_node': 'DWD_Q352425', 'name': 'literary_adaptation', 'description': 'adapting of a literary source to another genre or medium'}, 'event_confidence': 0.9653447270393372}]}"
Party emphasizes role.,plausible,1,"{'sen_id': 540, 'sentence': 'Party emphasizes role.', 'predicted_mentions': [{'sentence_offset': [6, 16], 'trigger_words': 'emphasizes', 'trigger_confidence': 0.9653235673904419, 'event_type': {'xpo_node': 'DWD_Q920915', 'name': 'emphasis', 'description': 'strengthening of words in a text with a font in a different style from the rest of the text'}, 'event_confidence': 0.9947298765182495}]}"
Officer entertains officer.,plausible,1,"{'sen_id': 541, 'sentence': 'Officer entertains officer.', 'predicted_mentions': [{'sentence_offset': [8, 18], 'trigger_words': 'entertains', 'trigger_confidence': 0.9057236909866333, 'event_type': {'xpo_node': 'DWD_Q173799', 'name': 'entertainment', 'description': 'activity that holds the attention and interest of an audience, or gives pleasure and delight'}, 'event_confidence': 0.9541261196136475}]}"
Name craves initiative.,implausible,1,"{'sen_id': 542, 'sentence': 'Name craves initiative.', 'predicted_mentions': [{'sentence_offset': [0, 4], 'trigger_words': 'Name', 'trigger_confidence': 0.5600929856300354, 'event_type': {'xpo_node': 'DWD_Q83478504', 'name': 'naming', 'description': 'assigning a name to something'}, 'event_confidence': 0.9610390663146973}]}"
Protagonist sells soul.,plausible,1,"{'sen_id': 543, 'sentence': 'Protagonist sells soul.', 'predicted_mentions': [{'sentence_offset': [12, 17], 'trigger_words': 'sells', 'trigger_confidence': 0.979074239730835, 'event_type': {'xpo_node': 'DWD_Q194189', 'name': 'sales', 'description': 'act of selling a product or service in return for money or other compensation'}, 'event_confidence': 0.9920734763145447}]}"
Kiln carries mortality.,implausible,0,"{'sen_id': 544, 'sentence': 'Kiln carries mortality.', 'predicted_mentions': [{'sentence_offset': [5, 12], 'trigger_words': 'carries', 'trigger_confidence': 0.9011910557746887, 'event_type': {'xpo_node': 'DWD_Q61707958', 'name': 'carrying', 'description': 'lifting and transporting something'}, 'event_confidence': 0.9772173762321472}]}"
Development flees office.,implausible,0,"{'sen_id': 545, 'sentence': 'Development flees office.', 'predicted_mentions': []}"
Happiness is peanut.,plausible,0,"{'sen_id': 546, 'sentence': 'Happiness is peanut.', 'predicted_mentions': []}"
Housing heightens army.,implausible,1,"{'sen_id': 547, 'sentence': 'Housing heightens army.', 'predicted_mentions': [{'sentence_offset': [0, 7], 'trigger_words': 'Housing', 'trigger_confidence': 0.9650776982307434, 'event_type': {'xpo_node': 'DWD_Q1247867', 'name': 'housing', 'description': 'construction and assignment of houses or buildings for sheltering people'}, 'event_confidence': 0.9787607789039612}]}"
Market surrenders loan.,implausible,1,"{'sen_id': 548, 'sentence': 'Market surrenders loan.', 'predicted_mentions': [{'sentence_offset': [7, 17], 'trigger_words': 'surrenders', 'trigger_confidence': 0.9617111086845398, 'event_type': {'xpo_node': 'DWD_Q3769366', 'name': 'surrender', 'description': 'cessation of fighting by the losing party'}, 'event_confidence': 0.9765348434448242}]}"
Way hoists arm.,plausible,1,"{'sen_id': 549, 'sentence': 'Way hoists arm.', 'predicted_mentions': [{'sentence_offset': [4, 10], 'trigger_words': 'hoists', 'trigger_confidence': 0.9122623205184937, 'event_type': {'xpo_node': 'DWD_Q1068633', 'name': 'groundbreaking', 'description': 'traditional ceremony in many cultures that celebrates the first day of construction for a building or other project'}, 'event_confidence': 0.8197804689407349}]}"
Credit shows grape.,implausible,1,"{'sen_id': 550, 'sentence': 'Credit shows grape.', 'predicted_mentions': []}"
Suffix disengages sample.,implausible,0,"{'sen_id': 551, 'sentence': 'Suffix disengages sample.', 'predicted_mentions': []}"
Highway requires demolition.,plausible,1,"{'sen_id': 552, 'sentence': 'Highway requires demolition.', 'predicted_mentions': [{'sentence_offset': [17, 27], 'trigger_words': 'demolition', 'trigger_confidence': 0.9465357661247253, 'event_type': {'xpo_node': 'DWD_Q331483', 'name': 'demolition', 'description': 'tearing-down of buildings and other structures'}, 'event_confidence': 0.9360476136207581}]}"
Album attains score.,plausible,1,"{'sen_id': 553, 'sentence': 'Album attains score.', 'predicted_mentions': []}"
Soldier revolves skill.,implausible,1,"{'sen_id': 554, 'sentence': 'Soldier revolves skill.', 'predicted_mentions': []}"
Majority speaks language.,plausible,1,"{'sen_id': 555, 'sentence': 'Majority speaks language.', 'predicted_mentions': [{'sentence_offset': [9, 15], 'trigger_words': 'speaks', 'trigger_confidence': 0.9938084483146667, 'event_type': {'xpo_node': 'DWD_Q18342738', 'name': 'public_speaking', 'description': 'process and act of speaking or giving a lecture to a group of people in a structured, deliberate manner intended to inform, influence, or entertain a listening audience'}, 'event_confidence': 0.9825088977813721}]}"
Concern educates person.,plausible,1,"{'sen_id': 556, 'sentence': 'Concern educates person.', 'predicted_mentions': [{'sentence_offset': [8, 16], 'trigger_words': 'educates', 'trigger_confidence': 0.9691352844238281, 'event_type': {'xpo_node': 'DWD_Q8434', 'name': 'education', 'description': 'learning in which knowledge and skills are transferred through teaching'}, 'event_confidence': 0.9682570099830627}]}"
Windfall leads lineup.,implausible,0,"{'sen_id': 557, 'sentence': 'Windfall leads lineup.', 'predicted_mentions': []}"
Stance provides speedster.,implausible,0,"{'sen_id': 558, 'sentence': 'Stance provides speedster.', 'predicted_mentions': [{'sentence_offset': [7, 15], 'trigger_words': 'provides', 'trigger_confidence': 0.7258380651473999, 'event_type': {'xpo_node': 'DWD_Q867393', 'name': 'amenity', 'description': 'infrastructure available for use and improving quality of life'}, 'event_confidence': 0.9858618974685669}]}"
Scope draws definition.,plausible,1,"{'sen_id': 559, 'sentence': 'Scope draws definition.', 'predicted_mentions': [{'sentence_offset': [12, 22], 'trigger_words': 'definition', 'trigger_confidence': 0.7333948016166687, 'event_type': {'xpo_node': 'DWD_Q182545', 'name': 'stylistic_device', 'description': 'technique used to give an auxiliary meaning, idea, or feeling to a literal message'}, 'event_confidence': 0.9800358414649963}]}"
Expert recognizes meadow.,plausible,1,"{'sen_id': 560, 'sentence': 'Expert recognizes meadow.', 'predicted_mentions': []}"
Duo attracts nectar.,implausible,0,"{'sen_id': 561, 'sentence': 'Duo attracts nectar.', 'predicted_mentions': []}"
Spectator manipulates trophy.,implausible,1,"{'sen_id': 562, 'sentence': 'Spectator manipulates trophy.', 'predicted_mentions': [{'sentence_offset': [10, 21], 'trigger_words': 'manipulates', 'trigger_confidence': 0.9116970896720886, 'event_type': {'xpo_node': 'DWD_Q743263', 'name': 'mind_control', 'description': 'process in which a group or individual ""systematically uses unethically manipulative methods to persuade others to conform to the wishes of the manipulator(s), often to the detriment of the person being manipulated""'}, 'event_confidence': 0.9447922110557556}]}"
Scandal hurts department.,plausible,0,"{'sen_id': 563, 'sentence': 'Scandal hurts department.', 'predicted_mentions': [{'sentence_offset': [0, 7], 'trigger_words': 'Scandal', 'trigger_confidence': 0.7739732265472412, 'event_type': {'xpo_node': 'DWD_Q192909', 'name': 'scandal', 'description': 'widely publicized damaging allegations triggering the outrage of public opinion'}, 'event_confidence': 0.9748727083206177}, {'sentence_offset': [8, 13], 'trigger_words': 'hurts', 'trigger_confidence': 0.9217284321784973, 'event_type': {'xpo_node': 'DWD_Q51158748', 'name': 'outrage', 'description': 'serious insult in fact or in speech'}, 'event_confidence': 0.7353288531303406}]}"
Newspaper mentions quality.,plausible,1,"{'sen_id': 564, 'sentence': 'Newspaper mentions quality.', 'predicted_mentions': []}"
Lecture sabotages creativity.,implausible,1,"{'sen_id': 565, 'sentence': 'Lecture sabotages creativity.', 'predicted_mentions': [{'sentence_offset': [8, 17], 'trigger_words': 'sabotages', 'trigger_confidence': 0.978737473487854, 'event_type': {'xpo_node': 'DWD_Q193518', 'name': 'sabotage', 'description': 'deliberate action aimed at weakening another entity'}, 'event_confidence': 0.9817464351654053}]}"
City dedicates street.,plausible,1,"{'sen_id': 566, 'sentence': 'City dedicates street.', 'predicted_mentions': [{'sentence_offset': [5, 14], 'trigger_words': 'dedicates', 'trigger_confidence': 0.521019697189331, 'event_type': {'xpo_node': 'DWD_Q65044042', 'name': 'emphasis', 'description': 'use of various methods in communication to draw attention to particular information'}, 'event_confidence': 0.9578512907028198}]}"
Realignment moves end.,plausible,1,"{'sen_id': 567, 'sentence': 'Realignment moves end.', 'predicted_mentions': [{'sentence_offset': [12, 17], 'trigger_words': 'moves', 'trigger_confidence': 0.5643894672393799, 'event_type': {'xpo_node': 'DWD_Q79782', 'name': 'motion', 'description': 'change in position of an object over time; a body is said to be in motion if it changes its position with respect to its immediate surroundings'}, 'event_confidence': 0.9014512896537781}, {'sentence_offset': [18, 21], 'trigger_words': 'end', 'trigger_confidence': 0.7542438507080078, 'event_type': {'xpo_node': 'DWD_Q18603731', 'name': 'dissolution', 'description': 'process where something ceases'}, 'event_confidence': 0.8977580070495605}]}"
Reviewer perpetuates sandwich.,implausible,1,"{'sen_id': 568, 'sentence': 'Reviewer perpetuates sandwich.', 'predicted_mentions': []}"
School uncovers reevaluation.,implausible,1,"{'sen_id': 569, 'sentence': 'School uncovers reevaluation.', 'predicted_mentions': [{'sentence_offset': [16, 28], 'trigger_words': 'reevaluation', 'trigger_confidence': 0.5485830903053284, 'event_type': {'xpo_node': 'DWD_Q16944486', 'name': 'elaboration', 'description': 'the process of developing or presenting a theory, policy, or system in further detail'}, 'event_confidence': 0.9210778474807739}]}"
Element obeys condition.,plausible,1,"{'sen_id': 570, 'sentence': 'Element obeys condition.', 'predicted_mentions': [{'sentence_offset': [8, 13], 'trigger_words': 'obeys', 'trigger_confidence': 0.9770325422286987, 'event_type': {'xpo_node': 'DWD_Q1456974', 'name': 'obedience', 'description': 'yielding to instructions from an authority figure'}, 'event_confidence': 0.9864120483398438}]}"
Stone attests title.,plausible,0,"{'sen_id': 571, 'sentence': 'Stone attests title.', 'predicted_mentions': []}"
