event	original_label	abstractness_combination	rating	majority_multiclass	distribution_multiclass	majority_binary	distribution_binary
library contributes cylinder	plausible	c-a-c	[1, 4, 1, 1, 4, 1, 4, 5]	unsure	[50.0, 0.0, 37.5, 12.5]	unsure	[50.0, 50.0]
library needs space	plausible	c-a-m	[4, 5, 4, 5, 5, 4, 5, 4, 5]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
lifestyle halve risk	plausible	a-c-a	[5, 4, 5, 4, 4, 4, 5, 4, 5]	unsure	[0.0, 0.0, 55.55555555555556, 44.44444444444444]	1	[100.0, 0.0]
lion signifies service	plausible	c-a-a	[1, 1, 4, 4, 4, 1, 1, 4, 1, 5]	unsure	[50.0, 0.0, 40.0, 10.0]	unsure	[50.0, 50.0]
locomotive pulls train	plausible	c-c-c	[5, 4, 5, 1, 2, 2, 5, 5, 5]	unsure	[11.11111111111111, 22.22222222222222, 11.11111111111111, 55.55555555555556]	unsure	[66.66666666666666, 33.33333333333333]
locomotive works line	plausible	c-c-c	[4, 1, 4, 4, 1, 5, 1, 4]	unsure	[37.5, 0.0, 50.0, 12.5]	unsure	[62.5, 37.5]
lookout dominates pond	plausible	m-a-c	[2, 2, 1, 2, 5, 4, 1, 4]	unsure	[25.0, 37.5, 25.0, 12.5]	unsure	[37.5, 62.5]
lookout hears craft	plausible	m-c-m	[4, 2, 2, 1, 4, 2, 5, 4, 5, 1]	unsure	[20.0, 30.0, 30.0, 20.0]	unsure	[50.0, 50.0]
loss diminishes race	plausible	a-m-m	[2, 5, 5, 4, 5, 5, 4, 2, 2]	unsure	[0.0, 33.33333333333333, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
lyric satirizes enthusiasm	plausible	m-a-a	[4, 5, 4, 4, 5, 4, 5, 5, 5]	unsure	[0.0, 0.0, 44.44444444444444, 55.55555555555556]	1	[100.0, 0.0]
magazine breaks taboo	plausible	c-c-a	[4, 5, 5, 2, 4, 5, 4, 5, 1, 4]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
magazine covers variety	plausible	c-c-a	[4, 5, 4, 5, 4, 5, 4, 4, 1]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
magazine degrades ability	plausible	c-a-a	[1, 4, 5, 5, 5, 4, 4, 1]	unsure	[25.0, 0.0, 37.5, 37.5]	1	[75.0, 25.0]
magazine identifies firefighter	plausible	c-m-c	[5, 4, 5, 5, 4, 5, 5, 4, 4, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
majority casts ballot	plausible	a-c-c	[5, 4, 5, 5, 4, 5, 5, 4]	unsure	[0.0, 0.0, 37.5, 62.5]	1	[100.0, 0.0]
majority has runway	plausible	a-a-c	[2, 4, 5, 1, 4, 1, 5, 4, 4, 5]	unsure	[20.0, 10.0, 40.0, 30.0]	1	[70.0, 30.0]
majority runs minute	plausible	a-c-m	[4, 2, 4, 2, 4, 4, 5, 1]	unsure	[12.5, 25.0, 50.0, 12.5]	unsure	[62.5, 37.5]
man finds acceptance	plausible	c-m-a	[4, 4, 4, 4, 5, 5, 5, 4, 4, 4]	unsure	[0.0, 0.0, 70.0, 30.0]	1	[100.0, 0.0]
man finds ticket	plausible	c-m-c	[4, 5, 5, 5, 5, 5, 5, 5]	5	[0.0, 0.0, 12.5, 87.5]	1	[100.0, 0.0]
man hijacks plane	plausible	c-c-c	[5, 5, 4, 4, 5, 5, 4, 5, 5, 4]	unsure	[0.0, 0.0, 40.0, 60.0]	1	[100.0, 0.0]
man leaves hometown	plausible	c-m-m	[4, 5, 5, 5, 1, 5, 1, 4, 4, 2, 1]	unsure	[27.27272727272727, 9.090909090909092, 27.27272727272727, 36.36363636363637]	unsure	[63.63636363636363, 36.36363636363637]
man loves thing	plausible	c-a-m	[5, 4, 1, 5, 4, 4, 5, 2]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
man makes comment	plausible	c-m-m	[4, 4, 5, 5, 5, 5, 4, 4, 5, 5]	unsure	[0.0, 0.0, 40.0, 60.0]	1	[100.0, 0.0]
man oppresses woman	plausible	c-a-c	[2, 5, 5, 4, 5, 4, 5, 5, 4]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
man passes tapeworm	plausible	c-m-c	[1, 5, 5, 2, 2, 4, 5, 4, 5, 5]	unsure	[10.0, 20.0, 20.0, 50.0]	1	[70.0, 30.0]
man recognizes responsibility	plausible	c-a-a	[5, 5, 1, 5, 5, 4, 5, 5]	5	[12.5, 0.0, 12.5, 75.0]	1	[87.5, 12.5]
man retrieves identification	plausible	c-c-m	[4, 4, 4, 5, 5, 5, 5, 5, 5]	unsure	[0.0, 0.0, 33.33333333333333, 66.66666666666666]	1	[100.0, 0.0]
manager negates accusation	plausible	m-a-a	[4, 5, 5, 4, 4, 5, 5, 1]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
manager praises performance	plausible	m-m-m	[4, 1, 4, 5, 4, 5, 4, 5, 5, 5]	unsure	[10.0, 0.0, 40.0, 50.0]	1	[90.0, 10.0]
mania encourages energy	plausible	a-m-m	[4, 4, 5, 4, 4, 5, 2, 4]	unsure	[0.0, 12.5, 62.5, 25.0]	1	[87.5, 12.5]
manufacturer derives model	plausible	m-a-c	[1, 5, 4, 4, 5, 5, 5, 4]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
map shows boundary	plausible	c-c-m	[4, 5, 5, 5, 4, 4, 5, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
market drives innovation	plausible	c-c-a	[2, 2, 1, 5, 4, 4, 2, 4, 4]	unsure	[11.11111111111111, 33.33333333333333, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
marriage unites house	plausible	a-m-c	[1, 4, 5, 4, 5, 4, 5, 5]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
massacre constitutes genocide	plausible	m-a-a	[5, 5, 4, 4, 5, 4, 4, 4, 4]	unsure	[0.0, 0.0, 66.66666666666666, 33.33333333333333]	1	[100.0, 0.0]
mechanism requires ring	plausible	m-a-c	[1, 5, 4, 5, 5, 2, 2, 4, 4]	unsure	[11.11111111111111, 22.22222222222222, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
mechanism stops ovulation	plausible	m-c-m	[2, 5, 5, 4, 5, 2, 4, 5]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
memory improves fitness	plausible	a-a-m	[5, 4, 5, 2, 2, 4, 4, 2, 4]	unsure	[0.0, 33.33333333333333, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
method gleans insect	plausible	a-m-c	[5, 1, 1, 2, 1, 4, 1, 2, 4, 5]	unsure	[40.0, 20.0, 20.0, 20.0]	unsure	[40.0, 60.0]
mind mentions economic	plausible	a-m-a	[2, 2, 4, 1, 1, 2, 2, 1]	unsure	[37.5, 50.0, 12.5, 0.0]	0	[12.5, 87.5]
mind perceives thing	plausible	a-a-m	[5, 5, 1, 4, 4, 5, 4, 5, 5]	unsure	[11.11111111111111, 0.0, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
mission assists participant	plausible	a-m-m	[5, 4, 4, 5, 2, 5, 1, 4]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
mission builds infrastructure	plausible	a-c-m	[5, 2, 2, 4, 4, 5, 4, 5, 5]	unsure	[0.0, 22.22222222222222, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
mission builds knowledge	plausible	a-c-a	[1, 4, 4, 4, 4, 4, 5, 4, 5]	unsure	[11.11111111111111, 0.0, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
mission creates awareness	plausible	a-m-a	[4, 5, 5, 5, 5, 5, 5, 4]	5	[0.0, 0.0, 25.0, 75.0]	1	[100.0, 0.0]
mission develops pipeline	plausible	a-a-c	[5, 4, 4, 4, 2, 4, 5, 4, 2, 4]	unsure	[0.0, 20.0, 60.0, 20.0]	1	[80.0, 20.0]
mission helps consumer	plausible	a-m-m	[4, 5, 5, 2, 2, 4, 4, 5, 4, 5]	unsure	[0.0, 20.0, 40.0, 40.0]	1	[80.0, 20.0]
mission publishes magazine	plausible	a-c-c	[4, 5, 5, 5, 5, 5, 4, 5]	5	[0.0, 0.0, 25.0, 75.0]	1	[100.0, 0.0]
missionary opposes idea	plausible	m-m-a	[4, 5, 5, 1, 5, 1, 5, 4]	unsure	[25.0, 0.0, 25.0, 50.0]	1	[75.0, 25.0]
mob overruns palace	plausible	m-m-c	[1, 4, 4, 4, 5, 5, 5, 5, 4]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
mode represents arena	plausible	a-a-c	[2, 5, 1, 1, 4, 1, 2, 4, 5]	unsure	[33.33333333333333, 22.22222222222222, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
modification improves vehicle	plausible	a-a-c	[4, 5, 5, 5, 5, 2, 5, 5, 4]	unsure	[0.0, 11.11111111111111, 22.22222222222222, 66.66666666666666]	1	[88.88888888888889, 11.11111111111111]
modification renders coupling	plausible	a-a-m	[4, 5, 4, 4, 4, 5, 4, 4]	unsure	[0.0, 0.0, 75.0, 25.0]	1	[100.0, 0.0]
monograph represents effort	plausible	m-a-a	[4, 1, 4, 1, 5, 4, 4, 2, 2]	unsure	[22.22222222222222, 22.22222222222222, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
motive provides facility	plausible	a-m-m	[2, 4, 1, 4, 5, 5, 4, 4, 4, 4]	unsure	[10.0, 10.0, 60.0, 20.0]	1	[80.0, 20.0]
motor lifts arm	plausible	c-c-c	[5, 1, 4, 5, 1, 5, 5, 4, 5]	unsure	[22.22222222222222, 0.0, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
movement affects number	plausible	m-a-m	[2, 2, 4, 1, 5, 4, 1, 4, 5, 5]	unsure	[20.0, 20.0, 30.0, 30.0]	unsure	[60.0, 40.0]
movement embodies elegance	plausible	m-a-a	[4, 4, 5, 5, 4, 5, 1, 5, 4]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
movement imitates operation	plausible	m-m-m	[4, 5, 5, 4, 4, 5, 4, 4, 4]	unsure	[0.0, 0.0, 66.66666666666666, 33.33333333333333]	1	[100.0, 0.0]
movement represents model	plausible	m-a-c	[5, 5, 5, 2, 4, 4, 4, 4, 2]	unsure	[0.0, 22.22222222222222, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
municipality considers merger	plausible	a-a-a	[5, 5, 5, 4, 2, 2, 1, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
municipality decorates street	plausible	a-c-c	[4, 2, 2, 4, 4, 5, 4, 5, 4, 5]	unsure	[0.0, 20.0, 50.0, 30.0]	1	[80.0, 20.0]
municipality holds election	plausible	a-c-m	[1, 4, 2, 5, 4, 5, 4, 5]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
municipality imposes restriction	plausible	a-a-a	[4, 5, 5, 4, 5, 5, 5, 5, 4]	unsure	[0.0, 0.0, 33.33333333333333, 66.66666666666666]	1	[100.0, 0.0]
municipality pays subsidy	plausible	a-c-a	[5, 5, 5, 5, 2, 5, 5, 5, 5]	5	[0.0, 11.11111111111111, 0.0, 88.88888888888889]	1	[88.88888888888889, 11.11111111111111]
municipality renames street	plausible	a-m-c	[5, 2, 4, 5, 5, 4, 5, 5]	unsure	[0.0, 12.5, 25.0, 62.5]	1	[87.5, 12.5]
nation abandons priority	plausible	m-m-a	[4, 1, 4, 4, 4, 5, 4, 5, 5]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
nation announces intention	plausible	m-c-a	[5, 5, 4, 5, 2, 2, 5, 4, 5]	unsure	[0.0, 22.22222222222222, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
nation combines effort	plausible	m-c-a	[5, 5, 5, 4, 5, 4, 4, 5]	unsure	[0.0, 0.0, 37.5, 62.5]	1	[100.0, 0.0]
nation establishes monument	plausible	m-a-c	[4, 2, 4, 4, 5, 4, 5, 4]	unsure	[0.0, 12.5, 62.5, 25.0]	1	[87.5, 12.5]
nation releases name	plausible	m-c-m	[5, 4, 4, 5, 2, 5, 5, 1]	unsure	[12.5, 12.5, 25.0, 50.0]	1	[75.0, 25.0]
nation sends representative	plausible	m-m-m	[4, 4, 5, 4, 4, 5, 2, 4]	unsure	[0.0, 12.5, 62.5, 25.0]	1	[87.5, 12.5]
nature makes identification	plausible	a-m-m	[4, 5, 4, 1, 1, 5, 4, 5, 4]	unsure	[22.22222222222222, 0.0, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
navy conducts hundred	plausible	m-a-m	[4, 5, 2, 1, 4, 1, 2, 5, 1, 4]	unsure	[30.0, 20.0, 30.0, 20.0]	unsure	[50.0, 50.0]
navy encourages attention	plausible	m-m-a	[2, 4, 5, 4, 2, 5, 5, 2]	unsure	[0.0, 37.5, 25.0, 37.5]	unsure	[62.5, 37.5]
navy identifies ship	plausible	m-m-c	[2, 1, 4, 4, 4, 5, 5, 5, 5, 4]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
newspaper breaks story	plausible	c-c-m	[4, 4, 5, 5, 4, 5, 4, 2]	unsure	[0.0, 12.5, 50.0, 37.5]	1	[87.5, 12.5]
newspaper mentions quality	plausible	c-m-a	[5, 2, 5, 5, 4, 5, 4, 5, 4, 4]	unsure	[0.0, 10.0, 40.0, 50.0]	1	[90.0, 10.0]
newspaper praises capacity	plausible	c-m-m	[5, 2, 1, 5, 4, 5, 5, 5, 5]	unsure	[11.11111111111111, 11.11111111111111, 11.11111111111111, 66.66666666666666]	1	[77.77777777777779, 22.22222222222222]
newspaper publishes issue	plausible	c-c-a	[2, 4, 5, 5, 4, 5, 5, 4, 5, 4]	unsure	[0.0, 10.0, 40.0, 50.0]	1	[90.0, 10.0]
node acknowledges receipt	plausible	m-a-c	[4, 1, 4, 2, 5, 5, 4, 4, 5]	unsure	[11.11111111111111, 11.11111111111111, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
node manages range	plausible	m-a-m	[1, 1, 2, 4, 5, 2, 1, 4, 4]	unsure	[33.33333333333333, 22.22222222222222, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
nominee carries district	plausible	m-c-m	[1, 5, 4, 4, 5, 1, 5, 4]	unsure	[25.0, 0.0, 37.5, 37.5]	1	[75.0, 25.0]
object comprises perspective	plausible	m-a-a	[5, 1, 4, 4, 4, 4, 5, 5, 5]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
objective conducts biology	plausible	a-a-m	[2, 5, 2, 5, 5, 1, 5, 5, 1]	unsure	[22.22222222222222, 22.22222222222222, 0.0, 55.55555555555556]	unsure	[55.55555555555556, 44.44444444444444]
objective develops creativity	plausible	a-a-a	[5, 4, 5, 5, 5, 5, 5, 5, 4]	5	[0.0, 0.0, 22.22222222222222, 77.77777777777779]	1	[100.0, 0.0]
objective introduces student	plausible	a-m-c	[5, 5, 4, 5, 4, 5, 4, 5]	unsure	[0.0, 0.0, 37.5, 62.5]	1	[100.0, 0.0]
officer reaches safety	plausible	c-c-a	[5, 5, 4, 4, 4, 5, 5, 5, 5, 2, 4]	unsure	[0.0, 9.090909090909092, 36.36363636363637, 54.54545454545454]	1	[90.9090909090909, 9.090909090909092]
offspring determines lineage	plausible	m-a-m	[5, 5, 4, 5, 2, 5, 5, 5, 4]	unsure	[0.0, 11.11111111111111, 22.22222222222222, 66.66666666666666]	1	[88.88888888888889, 11.11111111111111]
onset breaks trade	plausible	a-c-m	[2, 5, 4, 5, 2, 4, 5, 5]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
opening establishes motive	plausible	m-a-a	[4, 4, 4, 4, 2, 4, 4, 4]	unsure	[0.0, 12.5, 87.5, 0.0]	1	[87.5, 12.5]
owner secures trademark	plausible	m-m-m	[2, 5, 5, 4, 4, 4, 5, 5, 5]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
owner wants ship	plausible	m-a-c	[5, 5, 5, 4, 4, 4, 4, 5, 1]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
page provides link	plausible	c-m-m	[5, 5, 5, 4, 5, 5, 5, 5]	5	[0.0, 0.0, 12.5, 87.5]	1	[100.0, 0.0]
pair turns blade	plausible	m-c-c	[1, 5, 5, 4, 4, 4, 4, 5, 4]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
paper confirms speculation	plausible	c-a-a	[5, 1, 5, 4, 5, 4, 4, 4, 4]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
paper demonstrates link	plausible	c-m-m	[4, 2, 2, 1, 4, 5, 4, 4, 4]	unsure	[11.11111111111111, 22.22222222222222, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
paper introduces innovation	plausible	c-m-a	[4, 5, 4, 4, 5, 2, 2, 5, 4]	unsure	[0.0, 22.22222222222222, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
park assumes boundary	plausible	c-a-m	[5, 4, 4, 5, 5, 2, 5, 5, 1]	unsure	[11.11111111111111, 11.11111111111111, 22.22222222222222, 55.55555555555556]	1	[77.77777777777779, 22.22222222222222]
parliament passes resolution	plausible	m-m-a	[5, 5, 5, 4, 4, 5, 5, 2, 4]	unsure	[0.0, 11.11111111111111, 33.33333333333333, 55.55555555555556]	1	[88.88888888888889, 11.11111111111111]
parody depicts celebrity	plausible	a-a-m	[4, 4, 4, 5, 5, 4, 5, 4, 2]	unsure	[0.0, 11.11111111111111, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
partnership announces intent	plausible	a-c-a	[5, 5, 5, 5, 5, 5, 5, 5, 4]	5	[0.0, 0.0, 11.11111111111111, 88.88888888888889]	1	[100.0, 0.0]
party condemns violence	plausible	m-a-m	[4, 5, 4, 4, 4, 5, 4, 1]	unsure	[12.5, 0.0, 62.5, 25.0]	1	[87.5, 12.5]
party emphasizes role	plausible	m-a-a	[4, 4, 2, 5, 4, 4, 5, 4, 4]	unsure	[0.0, 11.11111111111111, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
party finds ground	plausible	m-m-c	[4, 5, 4, 5, 5, 4, 2, 4, 2]	unsure	[0.0, 22.22222222222222, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
party organizes meeting	plausible	m-m-m	[4, 2, 5, 5, 4, 5, 5, 5]	unsure	[0.0, 12.5, 25.0, 62.5]	1	[87.5, 12.5]
party organizes protest	plausible	m-m-m	[5, 5, 5, 4, 5, 5, 4, 2, 4, 4]	unsure	[0.0, 10.0, 40.0, 50.0]	1	[90.0, 10.0]
party treats election	plausible	m-c-m	[4, 5, 4, 4, 1, 4, 4, 5, 2]	unsure	[11.11111111111111, 11.11111111111111, 55.55555555555556, 22.22222222222222]	1	[77.77777777777779, 22.22222222222222]
passage occupies place	plausible	m-c-m	[5, 5, 4, 5, 2, 5, 5, 4]	unsure	[0.0, 12.5, 25.0, 62.5]	1	[87.5, 12.5]
passage produces turmoil	plausible	m-c-a	[5, 1, 1, 4, 4, 2, 4, 4, 1]	unsure	[33.33333333333333, 11.11111111111111, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
percent prefers condom	plausible	a-a-c	[1, 4, 5, 1, 1, 5, 4, 4, 1, 1]	unsure	[50.0, 0.0, 30.0, 20.0]	unsure	[50.0, 50.0]
person afford beef	plausible	c-a-c	[5, 5, 4, 5, 1, 4, 4, 5, 4, 4, 1]	unsure	[18.181818181818183, 0.0, 45.45454545454545, 36.36363636363637]	1	[81.81818181818183, 18.181818181818183]
person buy car	plausible	c-c-c	[5, 5, 2, 5, 4, 5, 4, 5, 5]	unsure	[0.0, 11.11111111111111, 22.22222222222222, 66.66666666666666]	1	[88.88888888888889, 11.11111111111111]
person call town	plausible	c-c-c	[2, 4, 2, 4, 4, 5, 5, 1, 2]	unsure	[11.11111111111111, 33.33333333333333, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
person commits assault	plausible	c-a-m	[5, 5, 5, 5, 4, 5, 5, 5]	5	[0.0, 0.0, 12.5, 87.5]	1	[100.0, 0.0]
person confesses baptism	plausible	c-m-m	[4, 5, 4, 4, 5, 4, 5, 5, 4]	unsure	[0.0, 0.0, 55.55555555555556, 44.44444444444444]	1	[100.0, 0.0]
person construct temple	plausible	c-m-c	[5, 2, 5, 4, 4, 4, 4, 1]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
person creates possibility	plausible	c-m-a	[4, 4, 4, 4, 4, 5, 5, 5, 5, 4]	unsure	[0.0, 0.0, 60.0, 40.0]	1	[100.0, 0.0]
person enrich understanding	plausible	c-a-a	[5, 5, 5, 4, 4, 4, 4, 5, 5, 5]	unsure	[0.0, 0.0, 40.0, 60.0]	1	[100.0, 0.0]
person flies type	plausible	c-c-m	[1, 4, 4, 1, 2, 5, 1, 1]	unsure	[50.0, 12.5, 25.0, 12.5]	unsure	[37.5, 62.5]
person make counterpoint	plausible	c-m-a	[4, 2, 4, 2, 2, 5, 4, 5, 5, 4]	unsure	[0.0, 30.0, 40.0, 30.0]	1	[70.0, 30.0]
person make tool	plausible	c-m-c	[5, 5, 5, 5, 4, 5, 1, 5, 2]	unsure	[11.11111111111111, 11.11111111111111, 11.11111111111111, 66.66666666666666]	1	[77.77777777777779, 22.22222222222222]
person perceive model	plausible	c-a-c	[5, 1, 4, 5, 5, 5, 4, 5, 4, 5]	unsure	[10.0, 0.0, 30.0, 60.0]	1	[90.0, 10.0]
person possesses alcohol	plausible	c-m-c	[5, 2, 4, 5, 5, 5, 4, 1, 5, 2]	unsure	[10.0, 20.0, 20.0, 50.0]	1	[70.0, 30.0]
person recall noise	plausible	c-a-m	[1, 1, 2, 5, 4, 4, 1, 4, 2]	unsure	[33.33333333333333, 22.22222222222222, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
person recall placement	plausible	c-a-m	[4, 5, 5, 4, 4, 4, 1, 5, 4]	unsure	[11.11111111111111, 0.0, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
person seek quality	plausible	c-m-a	[4, 5, 1, 4, 5, 5, 5, 5, 2, 5]	unsure	[10.0, 10.0, 20.0, 60.0]	1	[80.0, 20.0]
person sends letter	plausible	c-m-c	[4, 4, 5, 5, 5, 5, 5, 4, 5]	unsure	[0.0, 0.0, 33.33333333333333, 66.66666666666666]	1	[100.0, 0.0]
person speak language	plausible	c-c-a	[4, 5, 5, 4, 4, 4, 5, 5, 4]	unsure	[0.0, 0.0, 55.55555555555556, 44.44444444444444]	1	[100.0, 0.0]
person underestimate severity	plausible	c-a-a	[5, 4, 4, 5, 5, 5, 4, 4]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
petition seeks legislation	plausible	m-m-m	[2, 5, 5, 5, 4, 5, 4, 4, 5, 5]	unsure	[0.0, 10.0, 30.0, 60.0]	1	[90.0, 10.0]
phenomenon plays part	plausible	a-c-m	[2, 5, 5, 4, 4, 4, 5, 4]	unsure	[0.0, 12.5, 50.0, 37.5]	1	[87.5, 12.5]
philosopher compares convenience	plausible	m-m-a	[4, 5, 5, 5, 5, 2, 1, 4]	unsure	[12.5, 12.5, 25.0, 50.0]	1	[75.0, 25.0]
photograph depicts band	plausible	c-a-c	[1, 4, 4, 1, 4, 2, 4, 4]	unsure	[25.0, 12.5, 62.5, 0.0]	unsure	[62.5, 37.5]
photograph wins place	plausible	c-m-m	[5, 2, 5, 4, 4, 5, 4, 4, 5]	unsure	[0.0, 11.11111111111111, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
piano plays note	plausible	c-c-c	[5, 5, 5, 4, 5, 5, 5, 5, 5]	5	[0.0, 0.0, 11.11111111111111, 88.88888888888889]	1	[100.0, 0.0]
piece foreshadows militarization	plausible	m-a-a	[4, 4, 4, 5, 5, 1, 4, 2, 2]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
pilot initiates program	plausible	c-m-m	[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]	5	[0.0, 0.0, 10.0, 90.0]	1	[100.0, 0.0]
pilot notices behavior	plausible	c-c-a	[2, 2, 5, 5, 5, 5, 4, 4]	unsure	[0.0, 25.0, 25.0, 50.0]	1	[75.0, 25.0]
pipe incorporates layer	plausible	c-a-m	[5, 4, 1, 5, 4, 4, 5, 2, 5]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
plane observes pressure	plausible	c-m-m	[5, 1, 4, 4, 5, 4, 5, 5, 2]	unsure	[11.11111111111111, 11.11111111111111, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
plant assimilates nitrogen	plausible	c-a-m	[4, 5, 1, 5, 4, 5, 2, 2, 1]	unsure	[22.22222222222222, 22.22222222222222, 22.22222222222222, 33.33333333333333]	unsure	[55.55555555555556, 44.44444444444444]
plant occupies attention	plausible	c-c-a	[4, 5, 5, 2, 4, 5, 2, 4]	unsure	[0.0, 25.0, 37.5, 37.5]	1	[75.0, 25.0]
plant prefers soil	plausible	c-a-c	[5, 5, 2, 1, 5, 5, 4, 2, 4, 2]	unsure	[10.0, 30.0, 20.0, 40.0]	unsure	[60.0, 40.0]
plant shows symptom	plausible	c-c-m	[5, 1, 5, 1, 2, 5, 5, 1, 1, 5]	unsure	[40.0, 10.0, 0.0, 50.0]	unsure	[50.0, 50.0]
plant survives fire	plausible	c-m-c	[5, 4, 4, 5, 4, 5, 1, 5, 5, 2]	unsure	[10.0, 10.0, 30.0, 50.0]	1	[80.0, 20.0]
poem combines pride	plausible	m-c-a	[4, 5, 5, 2, 4, 4, 2, 4]	unsure	[0.0, 25.0, 50.0, 25.0]	1	[75.0, 25.0]
police begin surveillance	plausible	c-m-m	[4, 5, 4, 5, 5, 2, 5, 5, 2, 5]	unsure	[0.0, 20.0, 20.0, 60.0]	1	[80.0, 20.0]
police confirm motive	plausible	c-a-a	[4, 5, 5, 4, 5, 5, 4, 5]	unsure	[0.0, 0.0, 37.5, 62.5]	1	[100.0, 0.0]
police find car	plausible	c-m-c	[4, 4, 5, 5, 5, 5, 4, 4, 5, 5]	unsure	[0.0, 0.0, 40.0, 60.0]	1	[100.0, 0.0]
