text,original_label,label,event_type,subject_types,object_types
Retailer oppresses divergence.,implausible,1,"{'sen_id': 201, 'sentence': 'Retailer oppresses divergence.', 'predicted_mentions': [{'sentence_offset': [9, 18], 'trigger_words': 'oppresses', 'trigger_confidence': 0.7166451215744019, 'event_type': {'xpo_node': 'DWD_Q30314010', 'name': 'social_distancing', 'description': 'reduction of human social interaction in an effort to prevent the spread of infectious disease'}, 'event_confidence': 0.9379605650901794}, {'sentence_offset': [19, 29], 'trigger_words': 'divergence', 'trigger_confidence': 0.8359810709953308, 'event_type': {'xpo_node': 'DWD_Q85900110', 'name': 'divergence', 'description': 'process of separation of a relatively homogeneous group into more distinct groups'}, 'event_confidence': 0.9083749055862427}]}","[{'wd_qid': 'Q4830453', 'wd_label': 'business', 'description': 'entity involved in commercial, industrial, or professional activities'}, {'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q783794', 'wd_label': 'company', 'description': 'legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective'}, {'wd_qid': 'Q168678', 'wd_label': 'firm', 'description': 'corporate name'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q167037', 'wd_label': 'corporation', 'description': 'legal entity incorporated through a legislative or registration process'}, {'wd_qid': 'Q6881511', 'wd_label': 'enterprise', 'description': 'organizational unit producing goods or services, which benefits from a certain degree of autonomy in decision-making, especially for the allocation of its current resources'}]","[{'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}, {'wd_qid': 'Q1150070', 'wd_label': 'change', 'description': 'process, event or action that deviates from the present state'}]"
Sleeve throws sanctuary.,implausible,1,"{'sen_id': 202, 'sentence': 'Sleeve throws sanctuary.', 'predicted_mentions': [{'sentence_offset': [7, 13], 'trigger_words': 'throws', 'trigger_confidence': 0.8822217583656311, 'event_type': {'xpo_node': 'DWD_Q15855160', 'name': 'throwing_sport', 'description': 'sports where an object is thrown'}, 'event_confidence': 0.7234376072883606}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}, {'wd_qid': 'Q107', 'wd_label': 'space', 'description': 'general framework of distances and directions according to a physical observer in its proper time'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Viewer contributes video.,plausible,1,"{'sen_id': 203, 'sentence': 'Viewer contributes video.', 'predicted_mentions': [{'sentence_offset': [7, 18], 'trigger_words': 'contributes', 'trigger_confidence': 0.8732224702835083, 'event_type': {'xpo_node': 'DWD_Q18603648', 'name': 'contributing_factor', 'description': 'circumstance that contributes to a result, but is not 100% determinative of outcome'}, 'event_confidence': 0.9890550374984741}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}]","[{'wd_qid': 'Q98069877', 'wd_label': 'video', 'description': 'specific video with defining traits like framerate'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q11424', 'wd_label': 'film', 'description': 'sequence of images that give the impression of movement, stored on film stock'}]"
Delegation passes resolution.,plausible,1,"{'sen_id': 204, 'sentence': 'Delegation passes resolution.', 'predicted_mentions': []}","[{'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}, {'wd_qid': 'Q865588', 'wd_label': 'committee', 'description': 'body of one or more persons that is subordinate to a deliberative assembly'}, {'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q174834', 'wd_label': 'authority', 'description': 'power to command'}]","[{'wd_qid': 'Q16513426', 'wd_label': 'decision', 'description': 'result of deliberation'}, {'wd_qid': 'Q2751586', 'wd_label': 'resolution', 'description': 'written declaration adopted by a deliberative body'}]"
Manner raises traction.,implausible,1,"{'sen_id': 205, 'sentence': 'Manner raises traction.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]"
Rate destabilizes workforce.,implausible,1,"{'sen_id': 206, 'sentence': 'Rate destabilizes workforce.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q1251441', 'wd_label': 'leader', 'description': 'someone with the authority to affect the conduct of others; who have the responsibility of leading'}]","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q13440398', 'wd_label': 'workforce', 'description': 'members of a particular organization or population who are able or eligible to work; labour pool in employment; it may also mean all those who are available for work'}, {'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}, {'wd_qid': 'Q327055', 'wd_label': 'worker', 'description': 'person who works'}]"
Overtone demonstrates comma.,implausible,1,"{'sen_id': 207, 'sentence': 'Overtone demonstrates comma.', 'predicted_mentions': [{'sentence_offset': [9, 21], 'trigger_words': 'demonstrates', 'trigger_confidence': 0.9734171032905579, 'event_type': {'xpo_node': 'DWD_Q175331', 'name': 'demonstration', 'description': 'collective action by people in favor of a cause'}, 'event_confidence': 0.9411202669143677}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Plant collaborates ark.,implausible,1,"{'sen_id': 208, 'sentence': 'Plant collaborates ark.', 'predicted_mentions': [{'sentence_offset': [6, 18], 'trigger_words': 'collaborates', 'trigger_confidence': 0.6213523149490356, 'event_type': {'xpo_node': 'DWD_Q156744', 'name': 'collaborationism', 'description': ""cooperation with the enemy against one's country of citizenship in wartime""}, 'event_confidence': 0.8596423864364624}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q702269', 'wd_label': 'professional', 'description': 'person who is paid to undertake a specialized set of tasks and to complete them for a fee'}, {'wd_qid': 'Q327055', 'wd_label': 'worker', 'description': 'person who works'}]","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q43229', 'wd_label': 'organization', 'description': 'social entity established to meet needs or pursue goals'}, {'wd_qid': 'Q783794', 'wd_label': 'company', 'description': 'legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective'}, {'wd_qid': 'Q16334295', 'wd_label': 'group of humans', 'description': 'any set of human beings'}]"
Redistribution splits assistance.,implausible,1,"{'sen_id': 209, 'sentence': 'Redistribution splits assistance.', 'predicted_mentions': [{'sentence_offset': [0, 14], 'trigger_words': 'Redistribution', 'trigger_confidence': 0.6713038086891174, 'event_type': {'xpo_node': 'DWD_Q7305974', 'name': 'redistribution', 'description': 'in chemistry the exchange of anionic ligands bonded to metal and metalloid centers'}, 'event_confidence': 0.9455640316009521}, {'sentence_offset': [15, 21], 'trigger_words': 'splits', 'trigger_confidence': 0.8978750705718994, 'event_type': {'xpo_node': 'DWD_Q1325774', 'name': 'splitting', 'description': 'failure in thought to bring together both positive qualities and negative aspects of people into a cohesive whole'}, 'event_confidence': 0.9394858479499817}]}","[{'wd_qid': 'Q169534', 'wd_label': 'division', 'description': 'military unit size designation'}]","[{'wd_qid': 'Q1058733', 'wd_label': 'support', 'description': 'point in a structure at which loads are transferred between structural elements'}, {'wd_qid': 'Q1643184', 'wd_label': 'help', 'description': 'cooperation between living things'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Rain turns stream.,plausible,1,"{'sen_id': 210, 'sentence': 'Rain turns stream.', 'predicted_mentions': []}","[{'wd_qid': 'Q7925', 'wd_label': 'rain', 'description': 'liquid water in the form of droplets that have condensed from atmospheric water vapor and then precipitated'}, {'wd_qid': 'Q81054', 'wd_label': 'storm', 'description': ""any disturbed state of an astronomical body's atmosphere""}, {'wd_qid': 'Q283', 'wd_label': 'water', 'description': 'chemical compound; main constituent of the fluids of most living organisms'}]","[{'wd_qid': 'Q283', 'wd_label': 'water', 'description': 'chemical compound; main constituent of the fluids of most living organisms'}, {'wd_qid': 'Q7925', 'wd_label': 'rain', 'description': 'liquid water in the form of droplets that have condensed from atmospheric water vapor and then precipitated'}, {'wd_qid': 'Q4022', 'wd_label': 'river', 'description': 'larger natural watercourse'}]"
Gun abandons place.,implausible,0,"{'sen_id': 211, 'sentence': 'Gun abandons place.', 'predicted_mentions': [{'sentence_offset': [4, 12], 'trigger_words': 'abandons', 'trigger_confidence': 0.9293172955513, 'event_type': {'xpo_node': 'DWD_Q57195384', 'name': 'abandonment', 'description': 'act of ceasing to use or maintain an object or facility'}, 'event_confidence': 0.9689086079597473}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q4991371', 'wd_label': 'soldier', 'description': 'member of the armed forces'}]","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q11500', 'wd_label': 'area', 'description': 'quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane'}]"
Casualty comprises man.,plausible,1,"{'sen_id': 212, 'sentence': 'Casualty comprises man.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q8441', 'wd_label': 'man', 'description': 'male adult human'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}]","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q1851760', 'wd_label': 'victim', 'description': 'person who suffers as a result of a crime or other event'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q8441', 'wd_label': 'man', 'description': 'male adult human'}]"
Willingness renews subway.,implausible,0,"{'sen_id': 213, 'sentence': 'Willingness renews subway.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}]","[{'wd_qid': 'Q1188673', 'wd_label': 'subway', 'description': 'underpass for pedestrians and cycles'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q870', 'wd_label': 'train', 'description': 'form of rail transport consisting of a series of connected vehicles'}]"
Customer perceives way.,plausible,1,"{'sen_id': 214, 'sentence': 'Customer perceives way.', 'predicted_mentions': [{'sentence_offset': [9, 18], 'trigger_words': 'perceives', 'trigger_confidence': 0.9754167199134827, 'event_type': {'xpo_node': 'DWD_Q160402', 'name': 'perception', 'description': 'organization, identification, and interpretation of sensory information in order to represent and understand the environment in the brain'}, 'event_confidence': 0.8624932169914246}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q852835', 'wd_label': 'customer', 'description': 'recipient of a good, service, product or idea obtained from a seller via a financial transaction'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}]","[{'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}]"
Destructor conceptualizes instruction.,implausible,1,"{'sen_id': 215, 'sentence': 'Destructor conceptualizes instruction.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q901', 'wd_label': 'scientist', 'description': 'person who conducts scientific research into an area of interest'}, {'wd_qid': 'Q381160', 'wd_label': 'expert', 'description': 'person with broad and profound competence in a particular field'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}]","[{'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q925783', 'wd_label': 'instruction', 'description': 'single operation of a computer'}, {'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Trio finds postcard.,plausible,1,"{'sen_id': 216, 'sentence': 'Trio finds postcard.', 'predicted_mentions': [{'sentence_offset': [5, 10], 'trigger_words': 'finds', 'trigger_confidence': 0.9685616493225098, 'event_type': {'xpo_node': 'DWD_Q12772819', 'name': 'discovery', 'description': 'act of detecting something new'}, 'event_confidence': 0.88230299949646}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q6581097', 'wd_label': 'male', 'description': 'to be used in ""sex or gender"" (P21) to indicate that the human subject is a male'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Gate transmits kind.,plausible,1,"{'sen_id': 217, 'sentence': 'Gate transmits kind.', 'predicted_mentions': [{'sentence_offset': [5, 14], 'trigger_words': 'transmits', 'trigger_confidence': 0.7130745649337769, 'event_type': {'xpo_node': 'DWD_Q944584', 'name': 'telephony', 'description': 'field of technology involving the development, application, and deployment of telecommunication services'}, 'event_confidence': 0.8267194032669067}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q53060', 'wd_label': 'gate', 'description': 'point of entry to a space enclosed by building, wall or fence'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}]"
Jurisdiction makes nausea.,implausible,1,"{'sen_id': 218, 'sentence': 'Jurisdiction makes nausea.', 'predicted_mentions': []}","[{'wd_qid': 'Q174834', 'wd_label': 'authority', 'description': 'power to command'}, {'wd_qid': 'Q471855', 'wd_label': 'jurisdiction', 'description': 'practical authority granted to a formally constituted legal body or to a political leader to deal with legal matters'}, {'wd_qid': 'Q7748', 'wd_label': 'law', 'description': 'system of rules and guidelines, generally backed by governmental authority'}]","[{'wd_qid': 'Q814207', 'wd_label': 'illness', 'description': 'the state of being unwell'}, {'wd_qid': 'Q12136', 'wd_label': 'disease', 'description': 'abnormal condition negatively affecting organisms'}]"
Pulley reduces power.,plausible,1,"{'sen_id': 219, 'sentence': 'Pulley reduces power.', 'predicted_mentions': [{'sentence_offset': [7, 14], 'trigger_words': 'reduces', 'trigger_confidence': 0.8877328634262085, 'event_type': {'xpo_node': 'DWD_Q1458711', 'name': 'harm_reduction', 'description': 'range of public health policies designed to lessen the negative social and/or physical consequences associated with various human behaviors, both legal and illegal'}, 'event_confidence': 0.9793784022331238}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q11019', 'wd_label': 'machine', 'description': 'tool containing one or more parts that uses energy to perform an intended action'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q25107', 'wd_label': 'power', 'description': 'ability to influence the behavior of others'}, {'wd_qid': 'Q11379', 'wd_label': 'energy', 'description': 'measure for the ability of a system to do work'}]"
Compartment speaks point.,implausible,0,"{'sen_id': 220, 'sentence': 'Compartment speaks point.', 'predicted_mentions': [{'sentence_offset': [12, 18], 'trigger_words': 'speaks', 'trigger_confidence': 0.9580865502357483, 'event_type': {'xpo_node': 'DWD_Q18342738', 'name': 'public_speaking', 'description': 'process and act of speaking or giving a lecture to a group of people in a structured, deliberate manner intended to inform, influence, or entertain a listening audience'}, 'event_confidence': 0.9796110391616821}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}]"
Governor initiates negotiation.,plausible,1,"{'sen_id': 221, 'sentence': 'Governor initiates negotiation.', 'predicted_mentions': [{'sentence_offset': [9, 18], 'trigger_words': 'initiates', 'trigger_confidence': 0.9740607142448425, 'event_type': {'xpo_node': 'DWD_Q673511', 'name': 'initiation', 'description': 'chemical reaction that triggers one or more secondary reactions'}, 'event_confidence': 0.9830591678619385}, {'sentence_offset': [19, 30], 'trigger_words': 'negotiation', 'trigger_confidence': 0.7664939761161804, 'event_type': {'xpo_node': 'DWD_Q202875', 'name': 'negotiation', 'description': 'dialogue between two or more people or parties intended to reach a beneficial outcome'}, 'event_confidence': 0.9366225600242615}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q1251441', 'wd_label': 'leader', 'description': 'someone with the authority to affect the conduct of others; who have the responsibility of leading'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}, {'wd_qid': 'Q599151', 'wd_label': 'official', 'description': 'someone who holds a government office'}, {'wd_qid': 'Q174834', 'wd_label': 'authority', 'description': 'power to command'}]","[{'wd_qid': 'Q202875', 'wd_label': 'negotiation', 'description': 'dialogue between two or more people or parties intended to reach a beneficial outcome'}, {'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}, {'wd_qid': 'Q3030248', 'wd_label': 'discussion', 'description': 'conversation between two or more people in which they express their point of view on a choosen theme'}, {'wd_qid': 'Q2761147', 'wd_label': 'meeting', 'description': 'event in which two or more people assemble, planned in advance to facilitate discussion'}]"
Album grazes initiative.,implausible,1,"{'sen_id': 222, 'sentence': 'Album grazes initiative.', 'predicted_mentions': []}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q4026292', 'wd_label': 'action', 'description': 'something an agent can do or perform'}]"
Documentation becomes reunion.,implausible,1,"{'sen_id': 223, 'sentence': 'Documentation becomes reunion.', 'predicted_mentions': [{'sentence_offset': [0, 13], 'trigger_words': 'Documentation', 'trigger_confidence': 0.7448508143424988, 'event_type': {'xpo_node': 'DWD_Q788790', 'name': 'documentation', 'description': 'set of documents providing knowledge'}, 'event_confidence': 0.9857757687568665}, {'sentence_offset': [22, 29], 'trigger_words': 'reunion', 'trigger_confidence': 0.7845300436019897, 'event_type': {'xpo_node': 'DWD_Q2548750', 'name': 'reunion', 'description': 'nostalgic meeting of people'}, 'event_confidence': 0.9835440516471863}]}","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q49848', 'wd_label': 'document', 'description': 'form for preservation of structured and identified information'}]","[{'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}]"
Opening establishes motive.,plausible,1,"{'sen_id': 224, 'sentence': 'Opening establishes motive.', 'predicted_mentions': [{'sentence_offset': [0, 7], 'trigger_words': 'Opening', 'trigger_confidence': 0.5436713695526123, 'event_type': {'xpo_node': 'DWD_Q15051339', 'name': 'opening', 'description': 'moment when an institution starts operating'}, 'event_confidence': 0.9869318604469299}, {'sentence_offset': [8, 19], 'trigger_words': 'establishes', 'trigger_confidence': 0.8992783427238464, 'event_type': {'xpo_node': 'DWD_Q11398090', 'name': 'creation', 'description': 'process during which something comes into being and gains its characteristics'}, 'event_confidence': 0.978838324546814}]}","[{'wd_qid': 'Q1656682', 'wd_label': 'event', 'description': 'temporary and scheduled happening, like a conference, festival, competition or similar'}, {'wd_qid': 'Q15051339', 'wd_label': 'opening', 'description': 'moment when an institution starts operating'}]","[{'wd_qid': 'Q131841', 'wd_label': 'idea', 'description': 'mental image or concept'}, {'wd_qid': 'Q151885', 'wd_label': 'concept', 'description': 'semantic unit understood in different ways, e.g. as mental representation, ability or abstract object'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
Generation prefers castle.,plausible,1,"{'sen_id': 225, 'sentence': 'Generation prefers castle.', 'predicted_mentions': [{'sentence_offset': [11, 18], 'trigger_words': 'prefers', 'trigger_confidence': 0.9717150330543518, 'event_type': {'xpo_node': 'DWD_Q908656', 'name': 'preference', 'description': 'a greater liking for one alternative over another or others'}, 'event_confidence': 0.9315949082374573}]}","[{'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q80994', 'wd_label': 'adult', 'description': 'living organism that has reached sexual maturity'}]","[{'wd_qid': 'Q98929991', 'wd_label': 'place', 'description': 'small area known by a geographical name'}, {'wd_qid': 'Q17334923', 'wd_label': 'location', 'description': 'position of something in space'}, {'wd_qid': 'Q41176', 'wd_label': 'building', 'description': 'structure, typically with a roof and walls, standing more or less permanently in one place'}, {'wd_qid': 'Q23413', 'wd_label': 'castle', 'description': 'type of fortified structure built in Europe, Asia and the Middle East during the Middle Ages by nobility'}, {'wd_qid': 'Q6671777', 'wd_label': 'structure', 'description': 'arrangement and organization of interrelated elements in an object or system, or the object or system so organized'}]"
Flame envelops airship.,plausible,1,"{'sen_id': 226, 'sentence': 'Flame envelops airship.', 'predicted_mentions': []}","[{'wd_qid': 'Q235544', 'wd_label': 'flame', 'description': 'visible, gaseous part of a fire'}, {'wd_qid': 'Q3196', 'wd_label': 'fire', 'description': 'rapid oxidation of a material; phenomenon that emits light and heat'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q11432', 'wd_label': 'gas', 'description': 'one of the four fundamental states of matter'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q11436', 'wd_label': 'aircraft', 'description': 'machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface'}, {'wd_qid': 'Q11446', 'wd_label': 'ship', 'description': 'large buoyant watercraft'}, {'wd_qid': 'Q40218', 'wd_label': 'spacecraft', 'description': 'manned vehicle or unmanned machine designed to fly in outer space'}, {'wd_qid': 'Q197', 'wd_label': 'airplane', 'description': 'powered fixed-wing aircraft'}, {'wd_qid': 'Q204260', 'wd_label': 'plane', 'description': 'tool for working with wood'}]"
Stomach requires ranch.,implausible,0,"{'sen_id': 227, 'sentence': 'Stomach requires ranch.', 'predicted_mentions': []}","[{'wd_qid': 'Q1444', 'wd_label': 'organ', 'description': 'musical keyboard instrument'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q215627', 'wd_label': 'person', 'description': 'being that has certain capacities or attributes constituting personhood (avoid use with P31; use Q5 for humans)'}, {'wd_qid': 'Q7239', 'wd_label': 'organism', 'description': 'any contiguous alive physical entity; entity or being that is living; an individual living thing, such as one animal, plant, fungus, or bacterium'}, {'wd_qid': 'Q16457828', 'wd_label': 'body part', 'description': 'category of heraldic charges'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}, {'wd_qid': 'Q2095', 'wd_label': 'food', 'description': 'any substance consumed to provide nutritional support for the body; form of energy stored in chemical'}]"
Locomotive works line.,plausible,0,"{'sen_id': 228, 'sentence': 'Locomotive works line.', 'predicted_mentions': []}","[{'wd_qid': 'Q11019', 'wd_label': 'machine', 'description': 'tool containing one or more parts that uses energy to perform an intended action'}, {'wd_qid': 'Q93301', 'wd_label': 'locomotive', 'description': 'railway vehicle that provides the motive power for a train'}, {'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]","[{'wd_qid': 'Q35120', 'wd_label': 'entity', 'description': 'anything that can be considered, discussed, or observed'}]"
